=====================================================================================
 TOTAL PRODUCTION SPECIFICATION REPORT (COMPONENT SYSTEM v76.6) 
=====================================================================================
 PRODUCTION ROW | FACTORY SKU / ELEMENT ID  | FORMAT TYPE     | QTY (PCS) 
-------------------------------------------------------------------------------------
 row_01         | LF-250-ST                 | FULL (1.0)      | 44        
 row_01         | SP-250-ST                 | FULL (1.0)      | 46        
 row_02         | LF-120-ST                 | HALF (0.5)      | 7         
 row_02         | LF-250-ST                 | FULL (1.0)      | 48        
 row_02         | SP-250-ST                 | FULL (1.0)      | 19        
 row_03         | LF-120-ST                 | HALF (0.5)      | 1         
 row_03         | LF-250-ST                 | FULL (1.0)      | 50        
 row_03         | SP-120-ST                 | HALF (0.5)      | 2         
 row_03         | SP-250-ST                 | FULL (1.0)      | 14        
 row_04         | LF-120-ST                 | HALF (0.5)      | 9         
 row_04         | LF-250-ST                 | FULL (1.0)      | 46        
 row_04         | SP-250-ST                 | FULL (1.0)      | 16        
 row_05         | LF-120-ST                 | HALF (0.5)      | 1         
 row_05         | LF-250-ST                 | FULL (1.0)      | 51        
 row_05         | SP-250-ST                 | FULL (1.0)      | 14        
 row_05         | SP-5-ST                   | HALF (0.5)      | 2         
 row_06         | LF-120-ST                 | HALF (0.5)      | 7         
 row_06         | LF-250-ST                 | FULL (1.0)      | 48        
 row_06         | SH8-250-ST                | FULL (1.0)      | 4         
 row_06         | SH8-6-ST                  | HALF (0.5)      | 2         
 row_06         | SP-250-ST                 | FULL (1.0)      | 11        
 row_07         | LF-120-ST                 | HALF (0.5)      | 1         
 row_07         | LF-250-ST                 | FULL (1.0)      | 50        
 row_07         | SP-250-ST                 | FULL (1.0)      | 10        
 row_08         | LF-120-ST                 | HALF (0.5)      | 9         
 row_08         | LF-250-ST                 | FULL (1.0)      | 46        
 row_08         | SH8-214-ST                | FULL (1.0)      | 12        
 row_08         | SP-250-ST                 | FULL (1.0)      | 11        
 row_09         | LF-120-ST                 | HALF (0.5)      | 1         
 row_09         | LF-140-ST                 | FULL (1.0)      | 14        
 row_09         | LF-250-ST                 | FULL (1.0)      | 41        
 row_09         | SP-250-ST                 | FULL (1.0)      | 30        
 row_10         | LF-120-ST                 | HALF (0.5)      | 9         
 row_10         | LF-250-ST                 | FULL (1.0)      | 38        
 row_10         | SH8-246-ST                | FULL (1.0)      | 1         
 row_10         | SH8-250-ST                | FULL (1.0)      | 4         
 row_10         | SH8-4-ST                  | HALF (0.5)      | 2         
 row_10         | SH8-5-ST                  | HALF (0.5)      | 1         
 row_10         | SP-120-ST                 | HALF (0.5)      | 1         
 row_10         | SP-185-ST                 | FULL (1.0)      | 1         
 row_10         | SP-250-ST                 | FULL (1.0)      | 24        
 row_10         | SP-55-ST                  | HALF (0.5)      | 5         
 row_11         | LF-250-ST                 | FULL (1.0)      | 43        
 row_11         | SP-120-ST                 | HALF (0.5)      | 1         
 row_11         | SP-250-ST                 | FULL (1.0)      | 39        
 row_12         | LF-250-ST                 | FULL (1.0)      | 40        
 row_12         | LF-55-ST                  | HALF (0.5)      | 4         
 row_12         | SH8-116-ST                | HALF (0.5)      | 2         
 row_12         | SH8-250-ST                | FULL (1.0)      | 16        
